2822,-8373,-11193,2774,7008,-9783,2905,2590,3370,1020
2830,-8364,-11193,2767,7011,-9778,2900,2586,3371,1024
2846,-8357,-11202,2755,7024,-9780,2891,2579,3369,1024
2832,-8362,-11193,2764,7012,-9778,2892,2577,3370,1031
2823,-8360,-11183,2768,7002,-9771,2891,2572,3366,1027
2829,-8353,-11181,2762,7004,-9767,2881,2569,3368,1032
2838,-8349,-11185,2755,7011,-9767,2876,2567,3367,1035
2844,-8349,-11192,2751,7017,-9770,2870,2560,3363,1036
2848,-8347,-11194,2749,7020,-9770,2868,2558,3362,1040
2856,-8343,-11198,2743,7026,-9771,2860,2545,3357,1039
2861,-8340,-11201,2739,7030,-9771,2858,2552,3360,1044
2868,-8337,-11204,2734,7035,-9771,2854,2555,3349,1041
2871,-8335,-11204,2732,7037,-9770,2847,2537,3342,1033
2878,-8326,-11203,2724,7040,-9764,2843,2533,3352,1046
2877,-8325,-11201,2723,7039,-9763,2838,2533,3358,1058
2872,-8329,-11200,2727,7036,-9764,2838,2533,3356,1061
2874,-8327,-11200,2726,7036,-9764,2830,2522,3351,1061
2869,-8323,-11191,2726,7030,-9757,2834,2521,3352,1060
2875,-8320,-11194,2722,7034,-9757,2831,2525,3353,1065
2883,-8323,-11205,2719,7044,-9764,2824,2516,3353,1065
2887,-8318,-11204,2715,7045,-9761,2825,2510,3349,1063
2887,-8315,-11201,2714,7043,-9758,2822,2509,3351,1067
2886,-8312,-11198,2712,7042,-9755,2820,2507,3351,1070
2888,-8306,-11192,2708,7040,-9749,2817,2504,3352,1073
2886,-8304,-11189,2709,7037,-9746,2818,2504,3358,1078
2889,-8301,-11190,2705,7039,-9745,2816,2506,3352,1072
2894,-8300,-11192,2703,7042,-9746,2813,2505,3355,1076
2895,-8299,-11193,2701,7043,-9746,2809,2497,3357,1083
2899,-8295,-11193,2697,7046,-9744,2804,2493,3357,1085
2905,-8288,-11191,2691,7047,-9739,2805,2492,3360,1090
2904,-8287,-11190,2691,7046,-9738,2806,2490,3359,1092
2900,-8291,-11190,2695,7045,-9740,2805,2495,3365,1094
2909,-8290,-11197,2690,7052,-9743,2796,2493,3368,1096
2919,-8286,-11204,2683,7061,-9745,2796,2492,3369,1100
